1 1112.17 787.96 155.2375 -17.4968 -110.3391 
2 1039.24 788.32 165.2375 -17.4968 -110.3391 
3 966.636 789.696 175.2375 -17.4968 -110.3391 
4 893.607 790.479 185.2375 -17.4968 -110.3391 
5 820.497 791.429 195.2375 -17.4968 -110.3391 
6 747.617 791.872 205.2375 -17.4968 -110.3391 
7 674.206 792.99 215.2375 -17.4968 -110.3391 
8 601.238 793.485 225.2375 -17.4968 -110.3391 
9 528.935 793.709 235.2375 -17.4968 -110.3391 
10 456.644 794.134 245.2375 -17.4968 -110.3391 
11 384.038 795.307 255.2375 -17.4968 -110.3391 
12 311.308 795.251 265.2375 -17.4968 -110.3391 
13 239.306 795.801 275.2375 -17.4968 -110.3391 
14 167.017 796.736 285.2375 -17.4968 -110.3391 
15 95.9536 796.603 295.2375 -17.4968 -110.3391 
16 1110.96 715.913 155.2375 -27.4968 -110.3391 
17 1038.85 716.182 165.2375 -27.4968 -110.3391 
18 965.621 716.785 175.2375 -27.4968 -110.3391 
19 892.649 717.402 185.2375 -27.4968 -110.3391 
20 819.977 717.853 195.2375 -27.4968 -110.3391 
21 746.409 719.308 205.2375 -27.4968 -110.3391 
22 673.888 720.123 215.2375 -27.4968 -110.3391 
23 600.875 720.754 225.2375 -27.4968 -110.3391 
24 528.104 721.541 235.2375 -27.4968 -110.3391 
25 454.89 722.361 245.2375 -27.4968 -110.3391 
26 382.804 722.501 255.2375 -27.4968 -110.3391 
27 310.748 722.913 265.2375 -27.4968 -110.3391 
28 238.084 723.865 275.2375 -27.4968 -110.3391 
29 166.281 724.085 285.2375 -27.4968 -110.3391 
30 94.3331 724.787 295.2375 -27.4968 -110.3391 
31 1110.38 643.564 155.2375 -37.4968 -110.3391 
32 1038.57 643.602 165.2375 -37.4968 -110.3391 
33 965.348 643.45 175.2375 -37.4968 -110.3391 
34 892.06 644.617 185.2375 -37.4968 -110.3391 
35 818.871 645.861 195.2375 -37.4968 -110.3391 
36 745.528 646.385 205.2375 -37.4968 -110.3391 
37 672.857 646.892 215.2375 -37.4968 -110.3391 
38 600.167 648.147 225.2375 -37.4968 -110.3391 
39 527.389 648.92 235.2375 -37.4968 -110.3391 
40 454.463 649.79 245.2375 -37.4968 -110.3391 
41 381.807 650.463 255.2375 -37.4968 -110.3391 
42 308.785 650.96 265.2375 -37.4968 -110.3391 
43 237.25 651.169 275.2375 -37.4968 -110.3391 
44 165.343 652.073 285.2375 -37.4968 -110.3391 
45 93.479 652.854 295.2375 -37.4968 -110.3391 
46 1109.7 570.581 155.2375 -47.4968 -110.3391 
47 1037.47 570.582 165.2375 -47.4968 -110.3391 
48 964.334 571.506 175.2375 -47.4968 -110.3391 
49 891.348 572.099 185.2375 -47.4968 -110.3391 
50 818.274 572.975 195.2375 -47.4968 -110.3391 
51 745.45 573.157 205.2375 -47.4968 -110.3391 
52 672.201 574.648 215.2375 -47.4968 -110.3391 
